Puntaje,Tiempo,Muertes
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,21,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
